,id,utteranceID,Source,Target
1,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,1,"नमस्ते। मैं ह्यूस्टन, टेक्सास में एएमसी ह्यूस्टन 8 में मूवी टिकट खरीदने की कोशिश कर रहा हूं।","Hi. I'm trying to buy movie tickets at the AMC Houston 8 in Houston, Texas."
2,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,2,मैं उम्मीद कर रहा था कि आप उस ऑर्डर को प्लेस करने में मेरी मदद कर सकते हैं।,I was hoping you could help me place that order.
4,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,4,ग्लास,glass.
6,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,6,हां प्लीज,"Yes, please."
7,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,7,और दो टिकट। शाम 7:00 बजे के दो टिकट।,And two tickets. Two tickets to the 7:00 p.m.
10,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,10,हां जल्दी करें।,"Yeah, go ahead."
14,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,14,मुझे लगता है कि बस सब हो गया।,I think that's it.
16,dlg-0093d9ca-b42d-4b3c-9a89-c872000915f6,16,धन्यवाद।,Thank you.
18,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,1,अच्छा हूं। आप कैसे हैं?,Good. How are you?
20,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,3,क्या आप सैक्रामेंटो में लंच के लिए जगह खोजने में मेरी मदद कर सकते हैं?,Could you help me with a place to find lunch in Sacramento?
22,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,5,मैं आर्डेन केयर मॉल के अंदर हूं।,I'm inside Arden Care mall.
24,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,7,"मैं बहुत पिकी नहीं हूं, लेकिन मुझे ऐसा कुछ भी नहीं चाहिए जो बहुत महंगा हो। यह बहुत सस्ता होना भी जरूरी नहीं है। ऐसा कुछ भी नहीं जो बहुत महंगा हो। और साथ ही, ऐसा कुछ आवश्यक भी नहीं है।","I'm not too picky, but I don't want anything that is too expensive. It doesn't have to be too cheap either. Just nothing that is super expensive. And also, nothing that requires"
25,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,8,जैसे कि फैंसी ड्रेस।,like a fancy dress.
26,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,9,"और साथ ही, मैं नहीं चाहता कि यह उस मॉल से बहुत दूर हो जहां मैं अभी हूं, शायद 10 मीनट के अंदर।","And also, I don't want it to be too far away from the mall where I am now, so maybe within 10 mi."
28,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,11,सी फूड के बारे में क्या कहते हैं?,How about seafood?
31,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,14,क्या आप मुझे दोनों रेस्तरां का प्राइस रेंज बता सकते हैं?,Could you tell me the price range of both restaurants?
33,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,16,ठीक है बहुत बढ़िया। और क्या आप मुझे बता सकते हैं कि दोनों रेस्तरां के लिए ग्राहक रेटिंग क्या है?,"Okay, great. And could you tell me what the customer rating is for both restaurants?"
35,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,18,ठीक है। मुझे लगता है कि मैं इनट्रेस्टेड हूं। क्या आप मुझे बता सकते हैं कि उनका फोन नंबर क्या है?,Okay. I think I'm interested. Could you tell me what their phone number is?
37,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,20,ठीक है बहुत बढ़िया। आपकी मदद और रेस्तरां का पता लगाने के लिए बहुत-बहुत धन्यवाद।,"Okay, great. Thank you so much for your help and figuring out a restaurant."
39,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,22,"धन्यवाद, मुझे यकीन है कि मैं करूँगा।","Thanks, I'm sure I will."
41,dlg-00d44b07-4d5e-42ae-ba74-b445f1e23004,24,धन्यवाद।,Thanks.
43,dlg-097887e5-303c-4757-80e6-dd4630621f09,1,हाय। मैं कुछ मूवी टिकट बुक करना चाहता हूं।,Hi. I'm looking to book some movie tickets.
45,dlg-097887e5-303c-4757-80e6-dd4630621f09,3,ग्लास,Glass.
48,dlg-097887e5-303c-4757-80e6-dd4630621f09,6,आज दोपहर का।,In the afternoon today.
49,dlg-097887e5-303c-4757-80e6-dd4630621f09,7,"व्हिटियर, कैलिफ़ोर्निया।","Whittier, California."
52,dlg-097887e5-303c-4757-80e6-dd4630621f09,10,नहीं यह ठीक है।,"No, that's fine."
54,dlg-097887e5-303c-4757-80e6-dd4630621f09,12,तीन,three.
56,dlg-097887e5-303c-4757-80e6-dd4630621f09,14,"हाँ, क्या आप मुझे बता सकते हैं कि फिल्म का निर्देशन किसने किया है?","Yeah, could you tell me who directed the movie?"
58,dlg-097887e5-303c-4757-80e6-dd4630621f09,16,ठीक है।,Okay.
59,dlg-097887e5-303c-4757-80e6-dd4630621f09,17,आगे बढ़ो और टिकट बुक करो।,Go ahead and book the tickets.
61,dlg-097887e5-303c-4757-80e6-dd4630621f09,19,एक अलग शो टाइम बुक करें।,Book a different show time.
63,dlg-097887e5-303c-4757-80e6-dd4630621f09,21,क्या 550 आपके लिए सही है? हां।,Is 550 well for you? Yes.
65,dlg-097887e5-303c-4757-80e6-dd4630621f09,23,ठीक है! सही लग रहा है।,"Okay, sounds good."
67,dlg-097887e5-303c-4757-80e6-dd4630621f09,25,धन्यवाद।,Thank you.
68,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,0,नमस्ते। कैसा चल रहा है?,Hi. How's it going?
71,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,3,"मैं बहुत बढ़िया हूँ। मैं बेलुनो से तीन मीडियम पिज्जा ऑर्डर करना चाहता हूं, प्लीज।","I'm great. I'd like to order three medium pizzas from Belluno, please."
73,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,5,मैं जानना चाहता हूं कि क्या बोन में अच्छा चीज़ है क्या?,I would like to know does does bone have good cheese?
75,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,7,"ठीक है, मैं गोट चीज़, चेडर चीज़, आर्टी चिप्स और बेकन खाना चाहूँगा।","Okay, I'd like to have goat cheese, cheddar cheese, arty chips, and bacon."
78,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,10,क्या बेला लूना में झींगा है?,Does Bella Luna have shrimp?
80,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,12,"ठीक है, मैं ठीक हूँ, मैं इस पिज़्ज़ा पर चाहूँगा मुझे एक्स्ट्रा मशरूम, चेडर चीज़ चाहिए।","All right, I will All right, I would like to have on on this pizza I would like extra mushrooms, cheddar cheese."
81,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,13,एक्सट्रा बेकन।,extra bacon.
82,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,14,"और बारबेक्यू सॉस, प्लीज।","And barbecue sauce, please."
84,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,16,मैं पसंद करूँगा।,I would like to have.
85,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,17,क्या उनके पास मैक्सिकन-स्टाइल पिज्जा है?,Do they have a Mexican-style pizza?
87,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,19,ठीक है एक सेकंड।,"K, one moment."
88,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,20,शाकाहारी पिज़्ज़ा क्या होता है वेजी लवर्स के पिज़्ज़ा में क्या होता है?,What does the vegetarian pizza What does the veggie lover's pizza have on it?
90,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,22,"ठीक है, मैं वह करूँगा और मैं एक्ट्रा  चीज़ और सभी पिज़्ज़ा लूँगा, प्लीज। और मैं वेजी लवर्स के लिए ओरियो चॉक्स डालूंगा।","Okay, I will I will do that and I'll take extra cheese and all of the pizzas, please. And I'll add oreo chocs to the veggie lovers."
93,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,25,"यह सही है, धन्यवाद।","That's correct, thank you."
95,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,27,"हां, जरुर","Yes, please."
98,dlg-11dd7e6e-6212-4217-9870-45c0085a4193,30,यह काफी होगा। आपकी मदद के लिए बहुत बहुत धन्यवाद।,That would be all. Thank you so much for your help.
101,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,1,हाय असिस्टेंट। मैं एक पीट्स कैफे मोचा ऑर्डर करना चाहता/चाहती हूं।,Hi assistant. I would like to order a Peet's cafe mocha.
103,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,3,"मैं फोर्ट वर्थ, टेक्सास में हूं।","I'm located in Fort Worth, Texas."
105,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,5,"मुझे एक मीडियम चाहिए, जैसे 2% दूध, और एक्सट्रा अतिरिक्त चीनी, और व्हिप क्रीम।","I'd like a medium, like 2% milk, and extra sugar, and whip cream."
108,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,8,हाँ आपने किया।,"Yes, you did."
110,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,10,"हां, जरुर","Yes, please."
113,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,13,आज और कुछ नहीं।,Nothing else today.
116,dlg-123232f5-a22d-4d36-876a-f3f4d32720ab,16,आप को भी। धन्यवाद।,"You, too. Thank you."
119,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,2,मुझे इटालियन सॉसेज और एक्स्ट्रा चीज़ थिन क्रस्ट के साथ एक लार्ज पिज़्ज़ा चाहिए।,I would like one pizza large with Italian sausage and extra cheese thin crust.
120,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,3,बेला लूना।,Bella Luna.
123,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,6,हां,Yes.
126,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,9,हां,Yes.
128,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,11,धन्यवाद।,Thank you.
130,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,13,हां,Yes.
133,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,16,ङे।,hey.
134,dlg-1325a404-1c1b-47ac-8a98-c968919c0459,17,बस इतना ही।,That is all.
138,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,1,"हाँ, मैं ढूंढ रहा हूँ","Yes, I'm looking for"
139,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,2,सैन फ्रांसिस्को में सिट-डाउन रेस्तरां।,sit-down restaurant in San Francisco.
141,dlg-17946c6b-85c1-475a-9313-2847f36d1c41,4,मैं सैन फ़्रांसिस्को में सिट-डाउन रेस्टोरेंट ढूंढ रहा हूं।,I'm looking for a sit-down restaurant in San Francisco.
